Nombre,Gerencia área / area,Especialidad,Gerencia ACL,Asesor HSW,Ene,feb,mar,Abr,May,Jun,Jul,Ago,Sept,Oct,Nov,Dic
Usuario 1,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 2,Marcomms,Marcomms,Marcomms,Asesor 1,,,,,,,,,,,,
Usuario 3,Technical & Execution,Technical & Execution,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 4,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 5,Execution,Estimaciones y Constructibilidad,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 6,Execution,Estimaciones y Constructibilidad,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 7,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 2,,,,,,1,,,,,,
Usuario 8,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 9,"Health, safety and wellness","Health, safety and wellness",BA Operations,Asesor 3,,,,,,1,,,,,,
Usuario 10,Control de Proyectos / Control de Documentos,Control de Documentos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 11,Consulting and Sustainability,Estudios Sociales y Estandares Internacionales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 12,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 13,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 14,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 15,BA Resilience ,BA Resilience ,BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 16,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 17,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 18,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 19,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 20,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 21,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 22,"Health, safety and wellness","Health, safety and wellness",BA Operations,Asesor 1,,,,,,,1,,,,,
Usuario 23,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 24,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 25, Execution,Electricidad e Instrumentacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 26,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 27,Consulting and Sustainability,Geologia,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 28,People,People Service,People,Asesor 1,,,,,,,,,,,,
Usuario 29,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 30,Engineering,Procesos,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 31,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 32,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 33,Consulting and Sustainability,Estudios Sociales y Estandares Internacionales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 34,People,People Service,People,Asesor 1,,,,,,,,,,,,
Usuario 35,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 36,"Legal, Compliance & Privacy ","Legal, Compliance & Privacy ",BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 37,Growth,Growth,Growth,Asesor 1,,,,,,,,,,,,
Usuario 38,Consulting and Sustainability,Geologia,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 39,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 40,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 41,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 42,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 43,Execution,Estimaciones y Constructibilidad,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 44,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 45,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 46,"Health, safety and wellness","Health, safety and wellness",BA Operations,Asesor 2,,,,,1.0,,,,,,,
Usuario 47,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 48,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 49,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 50,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 51,Engineering,Sistemas de Ingenieria BIM,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 52,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 53,SGI/Quality,SGI/Quality,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 54, Execution,Electricidad e Instrumentacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 55,Consulting and Sustainability,Analisis Territorial y Geotecnologias,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 56,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 57,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 58,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 59, Execution,Electricidad e Instrumentacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 60,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 61,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 2,,,,,1.0,,,,,,,
Usuario 62,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 63,"Legal, Compliance & Privacy ","Legal, Compliance & Privacy ",BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 64,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 65,Travel / Logistica,Travel / Logistica,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 66,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 67,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 68,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 69,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 70,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 71,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 72,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 73,Global Technology,Digital Services & Solutions,BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 74,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 75,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 76,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 77,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 78,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 79,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 80,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 81,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 82,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 83,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 84,"Health, safety and wellness","Health, safety and wellness",BA Operations,Asesor 4,,,,,1.0,,,,,,,
Usuario 85,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 86,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 87,Travel / Logistica,Travel / Logistica,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 88,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 89,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 90,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 91,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 92,Consulting and Sustainability,Geologia,Technical & Execution,Asesor 2,,,,,,,,1.0,,,,
Usuario 93,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 94,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 95,Growth,Proposals ACL,Growth,Asesor 1,,,,,,,,,,,,
Usuario 96,Consulting and Sustainability,Estudios Sociales y Estandares Internacionales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 97,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
